Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
"R006 1, 2",R,Conference House Park,,,,,,,,Large Park,"Comfort
Station,Natural Areas,Trails",,,"Staten
Island Sector 3",,District 3,,,132.21,286.38,,45,25,,7,46,784.00,,426.00,,,126.00,,813.00,,6.4,5.8,5.5,6.3,,Yes,No,No,Yes,6776.00,13270.00,35279.00,8973.00
"X010 1, 19",X,Crotona Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Bronx Sector 3.6,,"Districts 3, 6",,,130.01,127.50,,806,506,,495,653,10142.00,,7964.00,,,7525.00,,8534.00,,6.6,6.9,7.0,7.0,,Yes,Yes,Yes,Yes,27593.00,12057.00,15717.00,39130.00
X118,X,Soundview Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural
Areas,Trails",,,Bronx Sector 9.10,,"Districts 9, 10",,,111.14,205.31,,137,63,,62,107,2177.00,,1065.00,,,1032.00,,1539.00,,6.4,4.9,4.5,5.7,,Yes,Yes,Yes,Yes,3902.00,2148.00,2190.00,4808.00
R022,R,Silver Lake Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Playgrounds",,,Staten Island Sector 1,,District 1,,,110.48,205.98,,147,133,,110,139,1860.00,,1693.00,,,1425.00,,1786.00,,6.6,7.0,6.7,6.5,,Yes,Yes,Yes,Yes,9604.00,19792.00,40659.00,12198.00
B018 1,B,Canarsie Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playground,T
rails",,,Brooklyn Sector 17.18,,"Districts 17, 18",,,106.46,132.20,,718,"1,822",,680,110,9079.00,,23361.00,,,10813.00,,1547.00,,6.6,6.8,6.2,6.3,,Yes,Yes,Yes,Yes,5487.00,4437.00,24781.00,6304.00
R079 2,R,Lemon Creek Park,,,,,,,,Large Park,"Natural Areas,Playground,T
rails",,,"Staten Island
Sector 3",,District 3,,,104.55,104.55,,13,10,,9,18,198.00,,163.00,,,157.00,,300.00,,6.4,5.9,6.2,6.5,,No,No,No,No,0.00,587.00,276.00,958.00
M107 16,M,Wards Island Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground",,,Manhattan Sector 11R,,District 11R,,,99.27,176.58,,209,148,,124,258,1814.00,,1011.00,,,986.00,,2354.00,,6.6,6.7,5.8,5.5,,No,No,No,No,1040.00,6438.00,2563.00,2998.00
Q005,Q,Baisley Pond Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Queens Sector 10.12,,"Districts 10, 12",,,90.03,109.61,,155,184,,133,239,2405.00,,2724.00,,,1875.00,,3303.00,,5.6,6.3,6.9,6.9,,Yes,Yes,Yes,Yes,4661.00,5247.00,8705.00,10936.00
M028 2,M,Fort Washington Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playground,T
rails",,,Manhattan Sector 12.12A,,"Districts 12, 12A",,,87.40,184.14,,124,81,,79,195,1705.00,,1144.00,,,1073.00,,2657.00,,6.5,6.5,6.9,7.0,,Yes,No,No,Yes,4442.00,2729.00,1357.00,3064.00
M037 1,M,Highbridge Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s,Trails",,,Manhattan Sector 12.12A,,"Districts 12, 12A",,,77.42,130.10,,466,289,,494,489,6120.00,,3620.00,,,3713.00,,4520.00,,6.6,6.7,7.0,7.0,,Yes,Yes,Yes,Yes,22136.00,7796.00,14641.00,52214.00
B166D 20,B,McGuire Fields,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Natural Areas,Playground,T
rails",,,Brooklyn Sector 17.18,,"Districts 17, 18",,,77.18,77.18,,6,6,,5,7,88.00,,89.00,,,80.00,,99.00,,3.0,3.5,3.4,4.2,,No,No,No,No,1085.00,1393.00,900.00,1535.00
B384,B,Fresh Creek Nature Preserve,,,,,,,,Large Park,"Natural Areas,Trails",,,"Brooklyn
Sector 17.18",,"Districts 17, 18",,,77.04,77.04,,11,6,,9,18,163.00,,87.00,,,144.00,,270.00,,3.5,1.8,2.8,2.9,,No,No,No,No,109.00,0.00,0.00,23.00
B125,B,Calvert Vaux Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playground,T
rails",,,Brooklyn Sector 13,,District 13,,,76.51,85.53,,207,275,,377,330,3054.00,,4633.00,,,6570.00,,5487.00,,6.5,5.8,7.0,6.8,,Yes,Yes,Yes,Yes,5015.00,3782.00,2001.00,1567.00
"Q300 1, 21",Q,Kissena Corridor Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Queens Sector 7,,District 7,,,74.86,100.87,,192,173,,169,225,2536.00,,2344.00,,,2266.00,,2989.00,,6.6,6.8,6.5,7.0,,Yes,Yes,Yes,Yes,5627.00,5884.00,5153.00,4543.00
X126 1,X,Ferry Point Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground",,,Bronx Sector 9.10,,"Districts 9, 10",,,71.05,413.80,,157,63,,57,162,2356.00,,928.00,,,758.00,,2356.00,,6.0,5.8,5.2,6.7,,Yes,Yes,Yes,Yes,2138.00,1863.00,785.00,3834.00
M029 1,M,Fort Tryon Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Natural Areas,Playgrounds,
Trails",,,Manhattan Sector 12.12A,,"Districts 12, 12A",,,66.22,67.21,,163,92,,90,131,2180.00,,1233.00,,,1165.00,,1745.00,,6.6,6.4,6.8,6.9,,Yes,No,No,Yes,15100.00,18551.00,3725.00,9461.00
Q008 1,Q,Brookville Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Natural
Areas,Playground",,,Queens Sector 11.13,,"Districts 11, 13",,,63.86,89.95,,109,90,,24,297,1421.00,,1107.00,,,317.00,,3656.00,,6.2,6.5,3.7,5.0,,Yes,Yes,No,Yes,11661.00,4963.00,1917.00,2659.00
B082,B,Shore Park and Parkway,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Brooklyn Sector 10.12,,"Districts 10, 12",,,62.25,58.00,,221,59,,107,106,3784.00,,865.00,,,1786.00,,1746.00,,6.4,5.6,6.2,6.8,,Yes,Yes,Yes,Yes,3757.00,4738.00,14316.00,10877.00
X003 1,X,Pelham Parkway,,,,,,,,Large Park,,,,"Bronx
Sector 11.12",,"Districts 11, 12",,,61.95,108.91,,27,35,,36,61,456.00,,540.00,,,541.00,,954.00,,5.0,5.1,5.2,5.9,,Yes,No,Yes,Yes,1752.00,405.00,127.00,646.00
Q012 22,Q,Crocheron Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground",,,Queens Sector 11.13,,"Districts 11, 13",,,59.75,62.79,,30,33,,53,179,371.00,,414.00,,,748.00,,2889.00,,5.2,4.8,6.1,6.8,,Yes,Yes,Yes,Yes,3548.00,11839.00,5771.00,5696.00
X033 23,X,Mosholu Parkway,,,,,,,,Large Park,"Athletic Facilities,Comfort Station,Playgrounds",,,Bronx Sector 7.8,,"Districts 7, 8",,,55.75,80.94,,182,138,,99,203,2540.00,,1902.00,,,1425.00,,2784.00,,6.8,6.7,6.9,6.8,,Yes,Yes,Yes,Yes,4676.00,3123.00,4708.00,3348.00
Q102 1,Q,Juniper Valley Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Queens Sector 5.6,,"Districts 5, 6",,,55.04,55.64,,216,178,,120,150,2779.00,,2243.00,,,1731.00,,2073.00,,6.4,6.7,6.7,6.7,,Yes,Yes,Yes,Yes,13814.00,7045.00,6557.00,5633.00
"Q300A 21,
24",Q,Kissena Corridor Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Queens Sector 8.9,,"Districts 8, 9",,,52.14,48.64,,56,38,,49,49,780.00,,561.00,,,731.00,,759.00,,6.2,6.5,6.3,6.5,,No,No,No,No,1555.00,1254.00,1211.00,2888.00
Q004 1,Q,Astoria Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground",,,Queens Sector 1.2,,"Districts 1, 2",,,52.05,59.96,,225,95,,128,173,2336.00,,1418.00,,,1772.00,,2439.00,,6.5,6.9,7.0,7.0,,Yes,Yes,Yes,Yes,11387.00,8359.00,11777.00,66712.00
B028 1,B,Dyker Beach Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground
s",,,Brooklyn Sector 10.12,,"Districts 10, 12",,,48.68,216.66,,260,102,,113,168,3730.00,,1403.00,,,1626.00,,2350.00,,6.4,6.8,6.9,7.0,,Yes,Yes,No,Yes,6683.00,4244.00,3492.00,2556.00
X088,X,Pugsley Creek Park,,,,,,,,Large Park,"Athletic
Facility,Natural Areas,Trails",,,"Bronx
Sector 9.10",,"Districts 9, 10",,,48.37,83.62,,23,14,,21,22,362.00,,223.00,,,332.00,,341.00,,6.1,3.6,5.0,4.7,,No,No,No,No,3049.00,2230.00,207.00,953.00
M144 1,M,John V. Lindsay East River Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Playground",,,Manhattan Sector 3,,District 3,,,47.24,45.88,,167,138,,156,246,1645.00,,1329.00,,,1460.00,,2591.00,,6.4,6.7,6.2,6.5,,Yes,Yes,Yes,Yes,11820.00,11920.00,6432.00,8468.00
B126,B,Red Hook Recreation Area,,,,,,,,Large Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 6.7,,"Districts 6, 7",,,44.87,58.50,,239,166,,166,273,2533.00,,1999.00,,,1855.00,,3326.00,,6.3,6.2,6.5,6.8,,Yes,Yes,Yes,Yes,10227.00,4626.00,12416.00,36981.00
Q452 25,Q,Udall's Park Preserve,,,,,,,,"Large
Park","Natural Areas,Trails",,,"Queens
Sector 7A",,"District
7A",,,44.07,44.07,,7,5,,2,5,97.00,,78.00,,,37.00,,73.00,,2.1,2.1,2.4,1.9,,No,No,Yes,No,50.00,1549.00,525.00,297.00
