Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
B321,B,Edmonds Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 2,,District 2,,,0.92,0.92,,39,24,,83,72,499.00,,290.00,,,1073.00,,993.00,,5.6,3.6,6.4,6.5,,Yes,Yes,Yes,Yes,471.00,4640.00,256.00,196.00
B223E,B,Fruit Street Sitting Area,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,0.92,0.92,,17,16,,15,8,301.00,,231.00,,,231.00,,112.00,,5.7,6.8,6.5,3.5,,Yes,Yes,Yes,Yes,3.00,0.00,42.00,0.00
B340,B,Garden Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.92,0.92,,16,12,,5,11,235.00,,186.00,,,76.00,,166.00,,6.5,6.5,4.5,5.9,,No,No,No,No,216.00,52.00,31.00,7694.00
B363,B,Houston Playground,,,,,,,,Small Park,Playground,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.92,0.92,,14,12,,6,15,192.00,,166.00,,,78.00,,203.00,,4.1,3.7,2.4,4.2,,No,No,No,No,320.00,93.00,297.00,126.00
B367,B,Livonia Park,,,,,,,,Small Park,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.92,0.92,,10,6,,5,11,134.00,,84.00,,,66.00,,155.00,,3.8,3.3,2.4,3.8,,No,No,No,No,458.00,92.00,0.00,58.00
B339 1,B,Newport Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.92,0.92,,25,12,,16,40,399.00,,169.00,,,209.00,,486.00,,5.8,3.8,4.6,5.0,,Yes,No,No,Yes,264.00,112.00,517.00,422.00
B292,B,Pratt Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 2,,District 2,,,0.92,0.92,,40,42,,63,84,509.00,,507.00,,,798.00,,1078.00,,5.4,5.2,5.6,6.2,,Yes,Yes,Yes,Yes,436.00,1496.00,7046.00,1615.00
X238,X,Saw Mill Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,0.92,0.92,,3,4,,4,8,44.00,,57.00,,,61.00,,116.00,,3.8,3.5,3.8,4.8,,No,No,No,No,,,,
X148L1,X,Virginia Park,,,,,,,,Small Park,,,,"Bronx
Sector 9.10",,"Districts 9, 10",,,0.92,0.92,,91,18,,13,21,1447.00,,247.00,,,159.00,,258.00,,5.9,5.2,4.6,5.5,,Yes,Yes,Yes,Yes,79.00,1109.00,0.00,124.00
R012,R,White Park,,,,,,,,Small Park,Playground,,,"Staten
Island Sector 1",,District 1,,,0.92,0.92,,5,5,,6,7,72.00,,74.00,,,88.00,,104.00,,6.2,6.2,5.6,6.0,,No,No,No,No,902.00,1271.00,334.00,258.00
R027A,R,Aesop Park,,,,,,,,Small Park,Playground,,,"Staten Island
Sector 3",,District 3,,,0.91,0.91,,6,6,,9,8,88.00,,96.00,,,160.00,,127.00,,6.4,5.9,5.9,6.6,,No,No,No,No,1551.00,77.00,114.00,553.00
Q399,Q,Bay Terrace Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 7,,District 7,,,0.91,0.91,,6,6,,28,31,71.00,,71.00,,,350.00,,385.00,,5.0,4.0,4.3,4.1,,Yes,Yes,Yes,Yes,1645.00,2068.00,1422.00,339.00
B098,B,Martin Luther Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.91,0.91,,25,24,,12,22,362.00,,351.00,,,177.00,,329.00,,6.4,6.2,5.8,6.8,,No,No,No,No,527.00,583.00,28.00,77.00
X207,X,Pontiac Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Bronx Sector 1.2,,"Districts 1, 2",,,0.91,0.91,,17,11,,8,12,236.00,,157.00,,,114.00,,168.00,,6.1,5.4,4.9,5.5,,No,No,No,No,256.00,1522.00,268.00,110.00
X085,X,Slattery Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 4.5,,"Districts 4, 5",,,0.91,0.91,,7,11,,13,13,106.00,,162.00,,,210.00,,203.00,,4.2,4.9,5.1,4.5,,No,No,No,No,708.00,1490.00,481.00,1115.00
B348,B,Willoughby Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.91,0.91,,38,37,,27,36,541.00,,588.00,,,473.00,,498.00,,6.6,5.9,4.8,6.4,,Yes,Yes,Yes,Yes,469.00,534.00,155.00,184.00
M108P,M,Sutton Parks,,,,,,,,Small Park,,,,"Manhattan
Sector 6.8.15",,"Districts 6, 8, 15",,,0.91,0.85,,19,21,,20,18,287.00,,320.00,,,322.00,,284.00,,6.1,6.2,5.5,5.2,,No,Yes,Yes,Yes,0.00,1042.00,327.00,158.00
B001,B,American Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 1,,District 1,,,0.90,0.90,,40,45,,29,61,514.00,,558.00,,,384.00,,743.00,,6.0,6.5,6.6,6.5,,Yes,Yes,Yes,Yes,74.00,1064.00,4636.00,445.00
X243,X,Estella Diggs Park,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.90,0.90,,14,10,,8,15,213.00,,151.00,,,117.00,,229.00,,5.9,4.8,4.5,6.1,,No,No,No,No,224.00,39.00,37.00,161.00
Q067A,Q,General Hart Playground,,,,,,,,Small Park,"Athletic
Facility,Comfort Station,Playground",,,Queens Sector 1.2,,"Districts 1, 2",,,0.90,0.90,,28,38,,42,38,416.00,,471.00,,,517.00,,469.00,,6.0,6.8,6.8,6.3,,Yes,Yes,Yes,Yes,2883.00,1799.00,830.00,750.00
Q025,Q,Major Mark Park,,,,,,,,Small Park,,,,"Queens Sector
10.12",,"Districts 10, 12",,,0.90,0.90,,9,8,,6,7,121.00,,104.00,,,91.00,,107.00,,3.1,3.9,5.0,4.4,,No,No,No,No,,,,
Q291,Q,Starr Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 5.6,,"Districts 5, 6",,,0.90,0.90,,9,9,,5,12,146.00,,138.00,,,83.00,,191.00,,4.2,4.4,4.2,5.2,,No,No,No,No,257.00,242.00,14.00,464.00
B220,B,Washington Hall Park,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 2,,District 2,,,0.90,0.90,,36,52,,64,63,618.00,,899.00,,,1094.00,,1007.00,,5.9,6.2,6.9,6.2,,Yes,Yes,Yes,Yes,245.00,511.00,981.00,323.00
R062 1,R,Arrochar Playground,,,,,,,,Small Park,"Comfort Station,Playground",,,"Staten Island Sector
2.2B",,"Districts 2, 2B",,,0.89,0.89,,3,4,,8,5,45.00,,54.00,,,122.00,,77.00,,5.6,5.5,5.9,6.2,,No,No,No,No,736.00,671.00,882.00,81.00
B313 1,B,El Shabazz Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.89,0.89,,13,16,,13,14,186.00,,221.00,,,195.00,,204.00,,4.9,4.8,5.2,5.5,,No,No,No,No,66.00,452.00,297.00,274.00
Q289,Q,Pinocchio Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Queens Sector 5.6,,"Districts 5, 6",,,0.89,0.89,,4,6,,3,7,68.00,,96.00,,,56.00,,107.00,,3.1,4.1,3.9,4.3,,No,No,No,No,90.00,28.00,0.00,139.00
M235 1,M,Sol Lain Plgd,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Manhattan Sector 3,,District 3,,,0.89,0.89,,5,7,,5,17,71.00,,105.00,,,71.00,,207.00,,6.2,5.5,5.7,6.8,,No,No,No,No,99.00,600.00,0.00,135.00
M208A,M,Alice Kornegay Triangle,,,,,,,,Small Park,"Comfort Station,Playground",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.88,0.88,,44,29,,10,29,581.00,,380.00,,,119.00,,375.00,,5.9,5.5,5.9,6.5,,Yes,Yes,No,Yes,1847.00,871.00,1226.00,1194.00
M035,M,Colonel Charles Young Triangle,,,,,,,,Small Park,,,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.88,0.88,,5,6,,7,11,75.00,,77.00,,,95.00,,125.00,,2.0,2.8,4.1,3.9,,No,No,No,No,0.00,383.00,15.00,110.00
Q408,Q,Harold Schneiderman Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Queens Sector
10.12",,"Districts 10, 12",,,0.88,0.88,,30,68,,45,38,388.00,,833.00,,,559.00,,472.00,,6.3,6.9,6.4,6.7,,Yes,Yes,Yes,Yes,327.00,251.00,503.00,281.00
Q212,Q,Queens Valley Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 8.9,,"Districts 8, 9",,,0.88,0.88,,18,16,,9,20,230.00,,211.00,,,141.00,,263.00,,4.7,5.6,5.1,5.7,,Yes,Yes,No,Yes,927.00,494.00,47.00,99.00
Q357B01,Q,Barrier Playground,,,,,,,,Small Park,Athletic Facilities,,,Queens Sector 5.6,,"Districts 5, 6",,,0.87,0.87,,11,18,,35,49,171.00,,229.00,,,436.00,,635.00,,5.4,5.1,5.4,6.1,,Yes,Yes,Yes,Yes,1550.00,459.00,28.00,1120.00
B332,B,Evergreen Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.87,0.87,,10,9,,14,47,126.00,,126.00,,,207.00,,685.00,,4.0,4.2,4.2,5.2,,No,No,No,Yes,4.00,53.00,452.00,633.00
B107,B,Lion's Pride Playground,,,,,,,,Small Park,Playground,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.87,0.87,,9,11,,11,10,108.00,,140.00,,,157.00,,136.00,,5.0,5.6,5.5,4.8,,No,No,No,No,79.00,73.00,1664.00,156.00
B099 1,B,Lt. Joseph Petrosino Park,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Brooklyn
Sector 11.15",,"Districts 11, 15",,,0.87,0.87,,9,18,,10,9,158.00,,275.00,,,154.00,,135.00,,3.7,6.1,5.5,5.9,,No,No,No,No,442.00,265.00,535.00,0.00
B306,B,Playground 286,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Brooklyn
Sector 11.15",,"Districts 11, 15",,,0.87,0.87,,23,30,,35,41,283.00,,374.00,,,431.00,,497.00,,4.6,4.8,6.1,6.8,,Yes,Yes,Yes,Yes,1824.00,592.00,501.00,629.00
X017,X,Richman (Echo) Park,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 4.5,,"Districts 4, 5",,,0.87,4.39,,70,22,,29,50,1122.00,,291.00,,,377.00,,703.00,,5.8,5.8,4.9,6.0,,No,Yes,Yes,Yes,1391.00,2375.00,968.00,1284.00
R127,R,Joseph Manna Park,,,,,,,,Small Park,,,,"Staten Island
Sector 1",,District 1,,,0.85,0.85,,4,3,,4,4,56.00,,47.00,,,58.00,,59.00,,6.1,6.5,5.9,5.8,,No,No,No,No,,,,
M241,M,Nathan Straus Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Manhattan Sector 3,,District 3,,,0.85,0.85,,12,11,,10,15,129.00,,96.00,,,102.00,,194.00,,6.0,5.1,4.5,6.0,,No,No,No,No,46.00,113.00,0.00,430.00
B536 1,B,North 5th Street Pier and Park,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.85,0.85,,39,46,,29,25,557.00,,609.00,,,457.00,,404.00,,6.6,6.8,5.4,5.6,,Yes,Yes,Yes,Yes,66.00,2083.00,4.00,380.00
B261,B,Schenck Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.85,0.85,,16,15,,15,17,200.00,,179.00,,,197.00,,222.00,,4.4,4.4,5.2,5.2,,No,No,No,No,139.00,4411.00,452.00,655.00
X208,X,Haviland Playground,,,,,,,,Small Park,Athletic Facilities,,,"Bronx Sector
9.10",,"Districts 9, 10",,,0.84,0.84,,5,4,,6,5,81.00,,60.00,,,82.00,,83.00,,6.1,4.2,4.5,4.5,,No,No,No,No,21.00,28.00,65.00,0.00
Q357I,Q,Nassau Mall,,,,,,,,Small Park,,,,"Queens
Sector 11.13",,"Districts 11, 13",,,0.84,0.84,,2,2,,2,2,45.00,,27.00,,,26.00,,37.00,,3.5,3.5,3.6,3.6,,No,No,No,No,0.00,42.00,92.00,0.00
M244,M,Sol Bloom Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.84,0.84,,64,68,,68,70,783.00,,831.00,,,868.00,,873.00,,6.1,6.2,6.5,6.9,,Yes,Yes,Yes,Yes,1791.00,358.00,466.00,251.00
B316 1,B,DiGilio Playground,,,,,,,,Small Park,"Comfort Station,Playground",,,"Brooklyn
Sector 14.19",,"Districts 14, 19",,,0.83,0.83,,5,4,,6,16,71.00,,59.00,,,85.00,,216.00,,2.9,1.8,4.5,4.5,,No,No,No,No,0.00,284.00,0.00,878.00
M321,M,Lower East Side Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Manhattan Sector 3,,District 3,,,0.83,0.83,,6,5,,6,6,75.00,,70.00,,,86.00,,94.00,,5.8,4.6,5.3,5.2,,No,No,No,No,7.00,42.00,0.00,5.00
Q357J,Q,Nassau Mall South,,,,,,,,Small Park,,,,"Queens
Sector 11.13",,"Districts 11, 13",,,0.83,0.83,,2,1,,2,2,34.00,,19.00,,,27.00,,30.00,,3.6,3.4,3.8,3.6,,No,No,No,No,21.00,69.00,135.00,89.00
M239,M,P.S. 155 Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.83,0.83,,101,75,,68,86,1227.00,,902.00,,,820.00,,1037.00,,6.3,5.6,5.8,6.4,,Yes,Yes,Yes,Yes,581.00,1479.00,615.00,997.00
X211,X,Stebbins Playground,,,,,,,,Small Park,Athletic Facilities,,,Bronx Sector 1.2,,"Districts 1, 2",,,0.83,0.83,,18,5,,7,5,233.00,,80.00,,,102.00,,72.00,,3.4,3.2,3.3,3.5,,Yes,No,No,No,79.00,44.00,271.00,337.00
Q028A,Q,Tribute Park,,,,,,,,Small Park,,,,Queens Sector 14,,District 14,,,0.83,0.83,,3,4,,3,3,37.00,,50.00,,,39.00,,45.00,,2.6,4.5,4.9,4.6,,No,No,No,No,612.00,561.00,392.00,238.00
X146,X,Flynn Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,0.82,0.82,,16,12,,10,13,227.00,,180.00,,,135.00,,172.00,,5.9,5.5,5.0,5.4,,No,No,No,No,6429.00,570.00,628.00,441.00
Q419,Q,Hart Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 7,,District 7,,,0.82,0.82,,19,7,,4,10,277.00,,90.00,,,67.00,,164.00,,5.4,4.5,4.2,5.8,,Yes,Yes,Yes,Yes,1324.00,26.00,173.00,749.00
X120,X,Highbridge Park,,,,,,,,Small Park,Trails,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.82,0.82,,14,12,,8,13,196.00,,174.00,,,123.00,,191.00,,6.2,5.8,4.9,5.2,,No,No,No,No,585.00,153.00,705.00,287.00
X162,X,Parkside Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Bronx
Sector 11.12",,"Districts 11, 12",,,0.82,0.82,,16,17,,12,12,255.00,,236.00,,,161.00,,163.00,,5.7,4.9,5.1,6.5,,Yes,No,No,No,2751.00,2156.00,321.00,779.00
M041,M,Alexander Hamilton Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.81,0.81,,19,23,,21,26,237.00,,293.00,,,270.00,,295.00,,5.4,6.2,6.5,6.2,,No,No,No,No,2328.00,509.00,1106.00,4735.00
Q322,Q,Bellaire Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Queens Sector
11.13",,"Districts 11, 13",,,0.81,0.81,,22,26,,51,54,274.00,,334.00,,,635.00,,682.00,,5.0,5.0,5.1,6.2,,Yes,Yes,Yes,Yes,532.00,468.00,2756.00,83.00
Q395,Q,Steinway Playground,,,,,,,,Small Park,Athletic Facilities,,,Queens Sector 1.2,,"Districts 1, 2",,,0.81,0.81,,8,7,,8,15,121.00,,99.00,,,119.00,,210.00,,3.1,2.2,2.9,5.8,,No,No,No,No,43.00,171.00,80.00,419.00
B345,B,Ethan Allen Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.80,0.80,,19,16,,14,26,231.00,,197.00,,,186.00,,327.00,,6.0,5.7,6.3,6.5,,No,No,No,No,29.00,198.00,38.00,805.00
M243,M,Eugene McCabe Field,,,,,,,,Small Park,Athletic Facilities,,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.79,0.79,,12,8,,9,12,148.00,,91.00,,,110.00,,148.00,,5.2,4.9,5.5,5.7,,No,No,No,No,0.00,52.00,138.00,155.00
B304,B,Kennedy King Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
17.18",,"Districts 17, 18",,,0.79,0.79,,7,6,,28,37,104.00,,85.00,,,356.00,,451.00,,3.5,3.4,5.5,5.2,,No,No,Yes,Yes,1416.00,2894.00,2307.00,603.00
R107,R,New Dorp Park,,,,,,,,Small Park,,,,"Staten Island Sector
2.2B",,"Districts 2, 2B",,,0.79,0.79,,2,2,,2,2,28.00,,33.00,,,34.00,,27.00,,2.9,3.1,3.0,2.8,,No,No,No,No,,,,
M236,M,Samuel Seabury Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Manhattan Sector
6.8.15",,"Districts 6, 8, 15",,,0.79,0.79,,134,163,,150,115,1637.00,,1989.00,,,1828.00,,1400.00,,6.6,7.0,7.0,6.9,,Yes,Yes,Yes,Yes,2971.00,606.00,1933.00,592.00
Q429,Q,Spirit Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Queens Sector 1.2,,"Districts 1, 2",,,0.79,0.79,,20,22,,17,15,301.00,,318.00,,,265.00,,255.00,,5.8,5.7,5.8,6.4,,No,No,No,No,1059.00,229.00,589.00,375.00
X206,X,Morgan Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Bronx Sector 3.6,,"Districts 3, 6",,,0.78,0.78,,16,12,,7,18,242.00,,179.00,,,99.00,,261.00,,5.8,4.5,4.2,6.2,,No,No,No,No,6310.00,170.00,0.00,3120.00
B167A,B,La Guardia Playground,,,,,,,,Small Park,Athletic Facilities,,,Brooklyn Sector 1,,District 1,,,0.77,0.77,,23,19,,19,11,303.00,,234.00,,,239.00,,135.00,,5.9,6.1,5.7,5.8,,Yes,Yes,Yes,Yes,35.00,35.00,14.00,218.00
R032,R,Maple Woods,,,,,,,,Small Park,,,,"Staten Island
Sector 1",,District 1,,,0.77,0.77,,3,2,,3,4,42.00,,35.00,,,42.00,,65.00,,3.8,3.4,3.5,3.8,,No,No,No,No,,,,
M054,M,Mitchel Square,,,,,,,,Small Park,,,,"Manhattan Sector
12.12A",,"Districts 12, 12A",,,0.77,0.77,,14,9,,17,12,177.00,,109.00,,,182.00,,142.00,,4.9,5.2,6.1,5.8,,No,No,No,Yes,0.00,202.00,29.00,261.00
M204,M,Moore Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.77,0.77,,109,79,,15,69,1329.00,,963.00,,,190.00,,851.00,,6.4,6.2,5.8,6.2,,Yes,Yes,No,Yes,0.00,147.00,136.00,555.00
Q338,Q,Admiral Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Queens
Sector 11.13",,"Districts 11, 13",,,0.76,0.76,,5,5,,4,5,91.00,,90.00,,,73.00,,83.00,,5.7,6.5,6.2,6.2,,No,No,No,No,889.00,179.00,85.00,369.00
M124,M,First Park,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Manhattan Sector 3,,District 3,,,0.76,0.76,,12,9,,5,6,146.00,,114.00,,,59.00,,92.00,,6.2,5.2,3.4,4.0,,No,No,No,No,61.00,1542.00,29.00,208.00
X105,X,Jerome Slope,,,,,,,,Small Park,,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.76,0.76,,23,17,,14,22,340.00,,249.00,,,222.00,,316.00,,5.8,6.7,5.2,5.0,,No,No,No,No,673.00,598.00,1575.00,335.00
Q037,Q,Neponsit Mall,,,,,,,,Small Park,,,,Queens Sector 14,,District 14,,,0.76,0.76,,3,3,,2,3,39.00,,35.00,,,26.00,,42.00,,1.3,3.8,4.2,4.3,,No,No,No,No,0.00,564.00,313.00,0.00
X348,X,River Avenue Parks,,,,,,,,Small Park,Playground,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.76,0.67,,35,34,,32,41,499.00,,455.00,,,440.00,,566.00,,5.4,6.6,6.0,6.4,,No,Yes,No,No,617.00,377.00,181.00,409.00
B223R,B,Jaime Campiz Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 1,,District 1,,,0.75,0.75,,19,17,,14,12,245.00,,219.00,,,184.00,,147.00,,6.0,4.8,5.8,6.5,,Yes,Yes,Yes,Yes,50.00,860.00,643.00,1030.00
Q354,Q,Playground Seventy Five,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Queens Sector 8.9,,"Districts 8, 9",,,0.75,0.75,,22,14,,15,29,296.00,,194.00,,,212.00,,377.00,,5.1,5.7,5.6,5.6,,No,No,No,Yes,94.00,285.00,2913.00,406.00
X042,X,Rose Hill Park,,,,,,,,Small Park,Comfort Station,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.75,0.75,,40,25,,13,17,583.00,,351.00,,,183.00,,245.00,,6.1,5.4,4.1,5.5,,Yes,Yes,No,No,4254.00,636.00,253.00,290.00
M184 1,M,Samuel N. Bennerson 2nd Playground,,,,,,,,Small Park,Playground,,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.75,0.75,,6,7,,7,20,81.00,,92.00,,,92.00,,247.00,,6.1,6.0,5.8,6.5,,No,No,No,No,29.00,52.00,301.00,1209.00
B257,B,Frost Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 1,,District 1,,,0.74,0.74,,43,16,,11,17,633.00,,239.00,,,165.00,,260.00,,6.3,6.5,5.7,5.8,,Yes,Yes,Yes,Yes,621.00,111.00,579.00,169.00
B255E,B,Park,,,,,,,,Small Park,,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.74,0.74,,11,11,,10,15,168.00,,177.00,,,137.00,,219.00,,5.9,5.7,4.5,4.3,,Yes,Yes,Yes,Yes,0.00,4.00,111.00,42.00
R095,R,Park,,,,,,,,Small Park,,,,"Staten
Island Sector 3",,District 3,,,0.74,0.74,,2,2,,2,2,25.00,,32.00,,,31.00,,26.00,,3.1,3.2,3.3,3.5,,No,No,No,No,,,,
B210J,B,Pena Herrera Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.74,0.74,,63,43,,36,41,1054.00,,740.00,,,470.00,,594.00,,5.8,6.1,5.5,5.8,,Yes,Yes,Yes,Yes,2495.00,918.00,1086.00,487.00
X059,X,Sergeant Johnson Triangle,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.74,0.74,,2,1,,2,2,39.00,,20.00,,,29.00,,37.00,,2.4,2.2,2.6,3.5,,No,No,No,No,230.00,75.00,59.00,56.00
M219,M,Tecumseh Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.74,0.74,,49,46,,39,43,694.00,,615.00,,,525.00,,601.00,,6.1,6.2,6.5,6.9,,Yes,Yes,Yes,Yes,1510.00,197.00,2938.00,1076.00
X082,X,University Malls,,,,,,,,Small Park,,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.74,0.74,,10,6,,5,5,154.00,,98.00,,,77.00,,68.00,,4.9,4.4,3.8,2.4,,No,No,No,No,22.00,0.00,0.00,0.00
X174,X,Webster Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 3.6,,"Districts 3, 6",,,0.74,0.74,,41,24,,11,19,602.00,,340.00,,,149.00,,277.00,,6.4,5.2,4.2,6.0,,Yes,Yes,No,No,4688.00,393.00,454.00,1356.00
Q205B,Q,Nathan Weidenbaum Playground,,,,,,,,Small Park,"Athletic Facility,Playground",,,Queens Sector 1.2,,"Districts 1, 2",,,0.73,0.73,,4,5,,4,5,76.00,,78.00,,,63.00,,78.00,,4.0,1.9,4.2,3.9,,No,No,No,No,3860.00,59.00,56.00,419.00
R083,R,North Shore Esplanade,,,,,,,,Small Park,,,,"Staten
Island Sector 1",,District 1,,,0.73,0.73,,3,3,,3,4,41.00,,37.00,,,42.00,,54.00,,4.0,4.2,3.9,3.5,,No,No,No,No,0.00,0.00,0.00,29.00
X032,X,Railroad Park,,,,,,,,Small Park,Playground,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.73,0.73,,20,14,,9,16,315.00,,206.00,,,141.00,,241.00,,6.5,5.8,4.6,6.3,,No,No,No,No,867.00,35.00,157.00,319.00
M046,M,Vietnam Veterans Plaza,,,,,,,,Small Park,,,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.73,0.73,,1,1,,1,2,17.00,,14.00,,,17.00,,22.00,,3.4,3.6,3.5,3.3,,No,No,No,No,0.00,126.00,29.00,4.00
M238,M,Bloomingdale Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.72,0.72,,62,63,,66,61,749.00,,779.00,,,831.00,,749.00,,6.1,6.3,6.5,6.8,,Yes,Yes,Yes,Yes,421.00,9794.00,1156.00,466.00
